GlyphNameCN,GlyphName,Unicode
空格,space,U+0020
占位符,placeholder,U+F0000
散,san3.md,U+F0001
散,san3.sm,U+F0002
大,da4.md,U+F0003
大,da4.sm,U+F0004
食,shi2.md,U+F0005
食,shi2.sm,U+F0006
中,zhong1.md,U+F0007
中,zhong1.sm,U+F0008
名,ming2.md,U+F0009
名,ming2.sm,U+F000A
跪,gui4.md,U+F000B
跪,gui4.sm,U+F000C
托,tuo1.md,U+F000D
托,tuo1.sm,U+F000E
擘,pi1.md,U+F000F
擘,pi1.sm,U+F0010
抹,mo3.md,U+F0011
抹,mo3.sm,U+F0012
挑,tiao3.md,U+F0013
挑,tiao3.sm,U+F0014
勾,gou1.md,U+F0015
勾,gou1.sm,U+F0016
剔,ti1.md,U+F0017
剔,ti1.sm,U+F0018
打,da3.md,U+F0019
打,da3.sm,U+F001A
摘,zhai1.md,U+F001B
摘,zhai1.sm,U+F001C
托擘,tuo1pi1.md,U+F001D
抹挑,mo3tiao3.md,U+F001E
勾剔,gou1ti1.md,U+F001F
打摘,da3zhai1.md,U+F0020
历,li4.md,U+F0021
蠲,juan1.md,U+F0022
轮,lun2.md,U+F0023
半轮,ban4lun2.md,U+F0024
琐,suo3.md,U+F0025
长琐,chang2suo3.md,U+F0026
如一,ru2yi1.md,U+F0027
伏,fu2.md,U+F0028
如一声,ru2yi1sheng1.md,U+F0029
滚,gun3.md,U+F002A
拂,fo2.md,U+F002B
至,zhi4.md,U+F002C
滚拂,gun3fo2.md,U+F002D
全扶,quan2fuu2.md,U+F002E
拨,bo1.md,U+F002F
剌,la4.md,U+F0030
剌伏,la4fu2.md,U+F0031
打圆,da3yuan2.md,U+F0032
搯起,tao1qi3.md,U+F0033
抓起,zhua1qi3.md,U+F0034
带起,dai4qi3.md,U+F0035
掩,yan3.md,U+F0036
虚掩,xu1yan3.md,U+F0037
推出,tui1chu1.md,U+F0038
不动,bu2dong4.md,U+F0039
上,shang4.md,U+F003A
下,xia4.md,U+F003B
进,jin4.md,U+F003C
退,tui4.md,U+F003D
复,fu4.md,U+F003E
进复,jin4fu4.md,U+F003F
退复,tui4fu4.md,U+F0040
往来,wang3lai2.md,U+F0041
撞,zhuang4.md,U+F0042
逗,dou4.md,U+F0043
唤,huan4.md,U+F0044
吟,yin2.md,U+F0045
猱,nao2.md,U+F0046
注,zhu4.md,U+F0047
